Name,url svg,url gif,url webp,url littie.json
Gemini,https://fonts.gstatic.com/s/e/notoemoji/latest/264a/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/264a/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/264a/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/264a/lottie.json
Cancer,https://fonts.gstatic.com/s/e/notoemoji/latest/264b/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/264b/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/264b/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/264b/lottie.json
Leo,https://fonts.gstatic.com/s/e/notoemoji/latest/264c/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/264c/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/264c/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/264c/lottie.json
Virgo,https://fonts.gstatic.com/s/e/notoemoji/latest/264d/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/264d/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/264d/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/264d/lottie.json
Libra,https://fonts.gstatic.com/s/e/notoemoji/latest/264e/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/264e/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/264e/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/264e/lottie.json
Scorpio,https://fonts.gstatic.com/s/e/notoemoji/latest/264f/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/264f/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/264f/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/264f/lottie.json
Sagittarius,https://fonts.gstatic.com/s/e/notoemoji/latest/2650/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/2650/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/2650/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/2650/lottie.json
Capricorn,https://fonts.gstatic.com/s/e/notoemoji/latest/2651/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/2651/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/2651/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/2651/lottie.json
Aquarius,https://fonts.gstatic.com/s/e/notoemoji/latest/2652/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/2652/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/2652/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/2652/lottie.json
Pisces,https://fonts.gstatic.com/s/e/notoemoji/latest/2653/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/2653/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/2653/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/2653/lottie.json
Ophiuchus,https://fonts.gstatic.com/s/e/notoemoji/latest/26ce/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/26ce/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/26ce/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/26ce/lottie.json
Exclamation,https://fonts.gstatic.com/s/e/notoemoji/latest/2757/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/2757/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/2757/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/2757/lottie.json
Question,https://fonts.gstatic.com/s/e/notoemoji/latest/2753/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/2753/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/2753/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/2753/lottie.json
Exclamation-question-mark,https://fonts.gstatic.com/s/e/notoemoji/latest/2049_fe0f/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/2049_fe0f/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/2049_fe0f/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/2049_fe0f/lottie.json
Exclamation-double,https://fonts.gstatic.com/s/e/notoemoji/latest/203c_fe0f/emoji.svg,https://fonts.gstatic.com/s/e/notoemoji/latest/203c_fe0f/512.gif,https://fonts.gstatic.com/s/e/notoemoji/latest/203c_fe0f/512.webp,https://fonts.gstatic.com/s/e/notoemoji/latest/203c_fe0f/lottie.json
